user,session_count,total_events,unique_page_types,events_per_session
10558265936658639648u,2,13,1,6.5
10558989985536632898u,2,16,4,8.0
10560218575403198241u,16,35,1,2.1875
10561276925451417112u,1,6,2,6.0
10562370834544171289u,3,8,1,2.6666666666666665
10564500197970973724u,1,12,3,12.0
10564654900133306075u,1,7,1,7.0
10565772256083765111u,1,7,3,7.0
10568472299533177820u,2,17,2,8.5
10568738874803554717u,2,20,2,10.0
10571028610200029930u,2,12,3,6.0
10571997424623444071u,11,22,1,2.0
1057218567507637894u,1,28,2,28.0
10572341162871575565u,2,17,1,8.5
10572390495360467370u,1,7,3,7.0
1057365739295329227u,2,28,2,14.0
10573851298468487486u,3,11,4,3.6666666666666665
10575401254504489357u,1,16,3,16.0
10576821285482531051u,1,17,3,17.0
10579582836598170360u,5,6,1,1.2
10580488757668976116u,1,6,3,6.0
10580651030706522061u,7,7,1,1.0
10582358586854802601u,1,11,3,11.0
10582602365915961103u,1,7,1,7.0
1058622069935340624u,1,6,2,6.0
10590203252887449564u,1,6,2,6.0
10591462037410239663u,1,27,3,27.0
10595139494174902668u,1,8,2,8.0
10595597134446434070u,1,13,2,13.0
10595940025805319713u,1,12,4,12.0
10596100372989141595u,1,6,2,6.0
10597706012997891976u,1,8,2,8.0
10600043358791718162u,4,48,4,12.0
10600166830080491394u,1,6,3,6.0
10602088454885603883u,8,8,1,1.0
10602702739213539816u,5,9,1,1.8
10605955359694687700u,4,17,1,4.25
10606866918745208931u,1,9,3,9.0
10607402968302181925u,2,11,3,5.5
10607856669128439258u,1,9,2,9.0
10609863372992011413u,5,6,1,1.2
10610159196708612295u,1,8,1,8.0
10610339938346879165u,4,25,3,6.25
10612133023939936024u,1,8,2,8.0
10612279591135267246u,1,10,3,10.0
10612593596313377086u,2,16,2,8.0
10614624242613383307u,1,13,3,13.0
10614702835081381044u,1,6,1,6.0
1061518171065087427u,1,8,2,8.0
10615445567312747574u,1,7,3,7.0
10616133601389506013u,1,10,1,10.0
10616658950596511249u,9,10,1,1.1111111111111112
10616883769415730339u,1,6,1,6.0
1061812759531491902u,2,10,1,5.0
10619821239117781240u,2,15,4,7.5
10620456278223952597u,1,6,1,6.0
10620776119197595946u,1,15,2,15.0
10621849920354276711u,2,7,1,3.5
10622041123331324719u,1,7,2,7.0
10622062693562644324u,2,11,2,5.5
10622263732270931456u,1,6,2,6.0
106229494361314700u,7,21,3,3.0
10623862835701291527u,1,10,2,10.0
10625861484976085804u,2,18,3,9.0
10626094146186927821u,1,7,3,7.0
10627635501466248365u,1,9,3,9.0
10628368126458633483u,1,12,3,12.0
10629183346254799138u,1,9,3,9.0
10630944850194971613u,7,8,1,1.1428571428571428
10631766292330477556u,1,14,2,14.0
10634392800874220218u,1,6,1,6.0
10636937038444515607u,1,7,2,7.0
10638596143856307061u,1,7,1,7.0
1063930007480407051u,1,9,2,9.0
10639411153715433738u,1,13,3,13.0
10640355042617816701u,1,8,3,8.0
10640463908728625969u,5,13,2,2.6
10641156822637561218u,1,6,1,6.0
10641484160311012778u,5,27,3,5.4
10642217773198773130u,1,12,3,12.0
10643261271169329956u,3,12,2,4.0
1064368015709664148u,1,7,2,7.0
10644861272473150172u,1,6,3,6.0
10645666064786673373u,4,19,3,4.75
1064705348422991591u,1,8,3,8.0
1064799699937993541u,1,37,3,37.0
10648950059122109205u,1,6,2,6.0
10649264542557775440u,1,19,2,19.0
10649410100783143634u,4,18,3,4.5
10650290246836258144u,2,8,1,4.0
10650809794643162775u,1,22,2,22.0
1065181099257245268u,1,7,3,7.0
10655423018077933057u,1,7,2,7.0
10657617733622864220u,3,7,1,2.3333333333333335
10659360830700227602u,2,12,2,6.0
10659497098476088699u,4,11,2,2.75
10660661588995639314u,1,15,2,15.0
10663311341565665852u,3,6,1,2.0
10664065476639010936u,1,13,2,13.0
10664887084294803274u,1,6,2,6.0
10665643308492961509u,1,7,1,7.0
1066613695616860908u,1,12,2,12.0
10668814033929121218u,1,10,2,10.0
10669150930500341343u,3,11,3,3.6666666666666665
10671157392604114939u,14,1014,2,72.42857142857143
10671758208674529961u,1,7,3,7.0
1067222556212611105u,2,15,1,7.5
10672987488742927293u,1,6,2,6.0
10673022355571624682u,1,29,3,29.0
10673123132497864126u,4,6,1,1.5
10673149472162920687u,1,10,4,10.0
10673389586487384181u,1,10,2,10.0
10673389897385449513u,1,12,4,12.0
10673581294001501928u,1,6,3,6.0
10674032607391719464u,1,7,1,7.0
10674391920627548146u,6,6,1,1.0
10676716609538762867u,1,10,2,10.0
10677167749385389325u,1,6,2,6.0
10677556118648755248u,1,8,2,8.0
1067850650178537922u,1,6,1,6.0
